"filename", "language", "JSON", "JavaScript", "TypeScript", "Vue.js", "HTML", "comment", "blank", "total"
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\package.json", "JSON", 46, 0, 0, 0, 0, 0, 1, 47
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\server.js", "JavaScript", 0, 27, 0, 0, 0, 6, 8, 41
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\App.vue", "Vue.js", 0, 0, 0, 44, 0, 0, 3, 47
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\dataManager.vue", "Vue.js", 0, 0, 0, 147, 0, 0, 6, 153
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\home.vue", "Vue.js", 0, 0, 0, 95, 0, 2, 2, 99
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\labManager.vue", "Vue.js", 0, 0, 0, 89, 0, 0, 5, 94
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\login.vue", "Vue.js", 0, 0, 0, 120, 0, 3, 4, 127
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\monitor.vue", "Vue.js", 0, 0, 0, 648, 0, 11, 25, 684
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\addUserBox.vue", "Vue.js", 0, 0, 0, 154, 0, 1, 10, 165
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\infoBox.vue", "Vue.js", 0, 0, 0, 138, 0, 0, 6, 144
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\labBox.vue", "Vue.js", 0, 0, 0, 485, 0, 0, 9, 494
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\tableCard.vue", "Vue.js", 0, 0, 0, 298, 0, 12, 24, 334
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\teamBox.vue", "Vue.js", 0, 0, 0, 75, 0, 0, 6, 81
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\tools\userBox.vue", "Vue.js", 0, 0, 0, 111, 0, 0, 2, 113
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\components\userManager.vue", "Vue.js", 0, 0, 0, 75, 0, 0, 2, 77
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\index.html", "HTML", 0, 0, 0, 0, 18, 1, 0, 19
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\index.ts", "TypeScript", 0, 0, 15, 0, 0, 4, 1, 20
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\router\index.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\src\shims-vue.d.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\tsconfig.json", "JSON", 11, 0, 0, 0, 0, 3, 0, 14
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\webpack.config.js", "JavaScript", 0, 112, 0, 0, 0, 3, 8, 123
"c:\Users\chuangli\Desktop\AutoCell\AutoCell\Web_UI\webpack.prod.js", "JavaScript", 0, 35, 0, 0, 0, 2, 0, 37
"Total", "-", 57, 174, 38, 2479, 18, 48, 126, 2940